selection_reason,date,sofr_percent,previous_sofr_percent,change_bp,window,standard_z,robust_z,percentile_strict,percentile_midrank,percentile_weak,prior_less_count,prior_equal_count,prior_greater_count,baseline_first_change_date,baseline_last_change_date
top absolute movement with all windows available,2019-10-01,1.88,2.35,-47.0,60,-0.8893279091647295,-10.567166666666667,93.33333333333333,93.33333333333333,93.33333333333333,56,0,4,2019-07-08,2019-09-30
top absolute movement with all windows available,2019-10-01,1.88,2.35,-47.0,120,-1.263765713284996,-15.85075,96.66666666666667,96.66666666666667,96.66666666666667,116,0,4,2019-04-10,2019-09-30
top absolute movement with all windows available,2019-10-01,1.88,2.35,-47.0,252,-1.7933845361760488,-15.85075,98.01587301587301,98.01587301587301,98.01587301587301,247,0,5,2018-09-26,2019-09-30
top absolute movement with all windows available,2020-03-18,0.1,0.54,-44.0,20,-1.75222578538042,-14.670375,95.0,95.0,95.0,19,0,1,2020-02-19,2020-03-17
top absolute movement with all windows available,2020-03-18,0.1,0.54,-44.0,60,-3.299545391275449,-29.678,98.33333333333333,98.33333333333333,98.33333333333333,59,0,1,2019-12-19,2020-03-17
top absolute movement with all windows available,2020-03-18,0.1,0.54,-44.0,120,-3.665666558905604,-29.678,97.5,97.5,97.5,117,0,3,2019-09-23,2020-03-17
top absolute movement with all windows available,2020-03-18,0.1,0.54,-44.0,252,-1.6240593477441594,-29.678,97.61904761904762,97.61904761904762,97.61904761904762,246,0,6,2019-03-15,2020-03-17
top absolute movement with all windows available,2020-03-04,1.23,1.64,-41.0,20,-26.583074240305123,-27.6545,100.0,100.0,100.0,20,0,0,2020-02-04,2020-03-03
top absolute movement with all windows available,2020-03-04,1.23,1.64,-41.0,60,-21.111777684705284,-27.6545,100.0,100.0,100.0,60,0,0,2019-12-05,2020-03-03
top absolute movement with all windows available,2020-03-04,1.23,1.64,-41.0,120,-1.0953035505128301,-27.6545,95.83333333333333,95.83333333333333,95.83333333333333,115,0,5,2019-09-09,2020-03-03
top absolute movement with all windows available,2020-03-04,1.23,1.64,-41.0,252,-1.566797638787689,-27.6545,98.01587301587301,98.01587301587301,98.01587301587301,247,0,5,2019-03-01,2020-03-03
top absolute movement with all windows available,2019-08-01,2.19,2.55,-36.0,20,-6.4247273884512115,-15.963166666666666,100.0,100.0,100.0,20,0,0,2019-07-03,2019-07-31
top absolute movement with all windows available,2019-08-01,2.19,2.55,-36.0,60,-8.050057434710897,-15.963166666666666,100.0,100.0,100.0,60,0,0,2019-05-07,2019-07-31
top absolute movement with all windows available,2019-08-01,2.19,2.55,-36.0,120,-5.932503900894721,-24.282,100.0,100.0,100.0,120,0,0,2019-02-08,2019-07-31
top absolute movement with all windows available,2019-08-01,2.19,2.55,-36.0,252,-5.13620020710603,-24.282,99.2063492063492,99.2063492063492,99.2063492063492,250,0,2,2018-07-27,2019-07-31
top absolute movement with all windows available,2019-04-30,2.76,2.48,28.0,20,6.330989512655382,18.886,100.0,100.0,100.0,20,0,0,2019-04-01,2019-04-29
top absolute movement with all windows available,2019-04-30,2.76,2.48,28.0,60,4.766424471596522,18.886,100.0,100.0,100.0,60,0,0,2019-02-01,2019-04-29
top absolute movement with all windows available,2019-04-30,2.76,2.48,28.0,120,3.2071788908434438,18.886,98.33333333333333,98.33333333333333,98.33333333333333,118,0,2,2018-11-01,2019-04-29
top absolute movement with all windows available,2019-04-30,2.76,2.48,28.0,252,4.140840703228021,18.886,99.2063492063492,99.2063492063492,99.2063492063492,250,0,2,2018-04-25,2019-04-29
top absolute movement with all windows available,2020-03-17,0.54,0.26,28.0,20,1.667662277414619,9.611625,90.0,90.0,90.0,18,0,2,2020-02-18,2020-03-16
top absolute movement with all windows available,2020-03-17,0.54,0.26,28.0,60,2.4635890115030676,18.886,96.66666666666667,96.66666666666667,96.66666666666667,58,0,2,2019-12-18,2020-03-16
top absolute movement with all windows available,2020-03-17,0.54,0.26,28.0,120,2.5765355331299156,18.886,96.66666666666667,96.66666666666667,96.66666666666667,116,0,4,2019-09-20,2020-03-16
top absolute movement with all windows available,2020-03-17,0.54,0.26,28.0,252,1.085710490311092,18.886,96.42857142857143,96.62698412698413,96.82539682539682,243,1,8,2019-03-14,2020-03-16
top absolute movement with all windows available,2024-12-19,4.3,4.57,-27.0,20,-10.091857521551427,-18.2115,100.0,100.0,100.0,20,0,0,2024-11-20,2024-12-18
top absolute movement with all windows available,2024-12-19,4.3,4.57,-27.0,60,-5.854942009775784,-18.2115,100.0,100.0,100.0,60,0,0,2024-09-23,2024-12-18
top absolute movement with all windows available,2024-12-19,4.3,4.57,-27.0,120,-4.54543070751326,-18.2115,99.16666666666667,99.16666666666667,99.16666666666667,119,0,1,2024-06-27,2024-12-18
top absolute movement with all windows available,2024-12-19,4.3,4.57,-27.0,252,-6.548790904387399,-18.2115,99.60317460317461,99.60317460317461,99.60317460317461,251,0,1,2023-12-15,2024-12-18
top absolute movement with all windows available,2022-03-17,0.3,0.05,25.0,20,,,100.0,100.0,100.0,20,0,0,2022-02-16,2022-03-16
top absolute movement with all windows available,2022-03-17,0.3,0.05,25.0,60,60.7247890074556,,100.0,100.0,100.0,60,0,0,2021-12-20,2022-03-16
top absolute movement with all windows available,2022-03-17,0.3,0.05,25.0,120,60.98155458825234,,100.0,100.0,100.0,120,0,0,2021-09-22,2022-03-16
top absolute movement with all windows available,2022-03-17,0.3,0.05,25.0,252,66.02875412334254,,100.0,100.0,100.0,252,0,0,2021-03-16,2022-03-16
